"name","file_system","mount_point","size","computer","provided_by","computer.disk_space","computer.name","computer.os","computer.used_for"
"/dev/mapper/rhel-opt","xfs","/opt","5.1 GB","sanaistv01","","141","sanaistv01","Linux Red Hat","Preproduction"
"/dev/nvme0n1p2","xfs","/","50.0 GB","us-irv-lnx01","/dev/nvme0n1p2","49,99","us-irv-lnx01","Linux Red Hat","Development"
"/dev/mapper/vg_data-lv_automat","xfs","/home/s_automat","196.7 MB","siai-ansip01","","126","siai-ansip01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_tmp","xfs","/tmp","1014.0 MB","SAAI-AWCCP02","","110","SAAI-AWCCP02","Linux Red Hat","Production"
"uxadmin-alseis.eu.corp.airliquide.com:/vol/C3_PER_VUNIX/AdminCentral","nfs4","/admin/central","1.7 TB","saeu-prdgp04","","122,44","saeu-prdgp04","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_opt","xfs","/opt","5.0 GB","sanaistp01","","121","sanaistp01","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_admin","xfs","/admin","60.7 MB","SIAI-NTSYP02","","354","SIAI-NTSYP02","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_home","ext4","/home","4.9 GB","argebzprddep02","","1 327","argebzprddep02","Linux Red Hat","Production"
"/dev/mapper/vg_data-lv_varopthitachi","xfs","/var/opt/hitachi","100.0 GB","siai-hopsp01","","1 477","siai-hopsp01","Linux Red Hat","Production"
"/dev/mapper/vg00-lv_varcrash","ext4","/var/crash","23.5 GB","argebzprdhss01","","2 037","argebzprdhss01","Linux Red Hat","Production"
"/dev/sda1","xfs","/boot","496.7 MB","co-esbgw01-prod","/dev/sda1","126","co-esbgw01-prod","Linux Red Hat","Production"
"/dev/mapper/rhel-tmp","xfs","/tmp","5.0 GB","sina-zpasp02","","115","sina-zpasp02","Linux Red Hat","Production"
"/dev/nvme1n1","ext4","/mnt","98.3 GB","argebzqapub01","/dev/nvme1n1","673,78","argebzqapub01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_data-lv_data","xfs","/home/data","200.0 GB","saeu-pprdv11","","222,45","saeu-pprdv11","Linux Red Hat","Preproduction"
